area,bbox,com,perimeter,centroid,cm_11,cm_20,cm_02,orientation,class
244,"[[0, 585], [8, 619]]","[0.00528169014084507, 0.7838541666666666]",79.0,"[0.35974499089253187, 0.4895784543325527]",13016.682640111503,3803.661736262646,87066.33173285589,-0.15151782364683333,svar
1018,"[[28, 330], [59, 374]]","[0.07570422535211267, 0.45703125]",135.0,"[0.4785731827111984, 0.457061776904606]",313002.0097243618,292461.3765435937,541855.9967346191,-0.5958387195716861,svar
333,"[[88, 446], [100, 495]]","[0.16725352112676056, 0.6158854166666666]",114.0,"[0.568029568029568, 0.5499699699699699]",60256.29926597347,20757.76243862829,287285.98632303916,-0.2123231146315803,svar
6861,"[[0, 467], [117, 632]]","[0.10211267605633803, 0.71875]",1295.0,"[0.48235244361331975, 0.5107749584797241]",38357604.606294,30628621.86210581,62134443.521484375,-0.5905562066163119,svar
627,"[[109, 413], [139, 449]]","[0.21654929577464788, 0.5611979166666666]",101.0,"[0.45408242012656275, 0.4796327427906375]",124478.52061097049,149194.87411661886,245879.5708872489,-0.6001827184368045,svar
443,"[[188, 0], [221, 54]]","[0.3644366197183099, 0.028645833333333332]",182.0,"[0.55165153309646, 0.4004067520846044]",210995.9857458554,166538.4946408205,331092.3876342774,-0.5994937560505642,svar
6705,"[[260, 347], [352, 442]]","[0.5422535211267606, 0.51171875]",340.0,"[0.5110695084485407, 0.4844246031746032]",13901436.99658891,18387876.56099987,18013395.172851562,0.7786639900745881,svar
516,"[[262, 234], [291, 275]]","[0.4894366197183099, 0.3346354166666667]",110.0,"[0.5207364341085271, 0.538344407530454]",203637.7588028169,140989.9096905376,326708.3993123372,-0.5714811399487586,svar
308,"[[294, 247], [313, 276]]","[0.5369718309859155, 0.3385416666666667]",72.0,"[0.5581168831168831, 0.4380952380952381]",49841.422278462436,41910.59002430077,68696.4666883681,-0.6541431500005602,svar
67140,"[[0, 420], [405, 761]]","[0.38028169014084506, 0.8450520833333334]",4088.0,"[0.4947310736287587, 0.6263595941370722]",3223566289.3917227,3872507633.2780447,4076211654.0987206,-0.7696053848071801,svar
929,"[[370, 351], [407, 401]]","[0.6883802816901409, 0.4869791666666667]",201.0,"[0.5446150359752988, 0.4532176702758606]",455239.1745020908,443468.6242344033,641773.5038587779,-0.678171298749711,svar
961,"[[431, 22], [463, 88]]","[0.7852112676056338, 0.0703125]",151.0,"[0.46100968057263586, 0.4817121468619442]",542743.9755446746,258314.93355732973,1279387.1260375977,-0.40798364232844736,svar
1365,"[[509, 0], [561, 67]]","[0.9595070422535211, 0.036458333333333336]",452.0,"[0.6732805842970178, 0.4122285473329117]",1386167.3771731956,1902532.709888282,1517218.5209147069,0.7163477861290164,svar
1556,"[[81, 411], [125, 472]]","[0.17781690140845072, 0.5755208333333334]",220.0,"[0.4458440445586975, 0.507193797163944]",1068540.0465265554,790311.0228749253,1817542.9161512514,-0.5613656727857849,svar
995,"[[132, 450], [158, 527]]","[0.2517605633802817, 0.6302083333333334]",175.0,"[0.41805322910850545, 0.43750805308594254]",431895.46857577754,152621.02068971988,1476146.7288140191,-0.2891157911322091,svar
16612,"[[138, 276], [327, 458]]","[0.40492957746478875, 0.4934895833333333]",1540.0,"[0.47950605214590325, 0.56340011275758]",165155351.1938316,168762536.6064884,205275164.18982255,-0.7303515201967801,svar
875,"[[154, 228], [183, 279]]","[0.2975352112676056, 0.3294270833333333]",125.0,"[0.4965333333333334, 0.4822197802197802]",357510.7914626431,222029.3134143773,694486.0376569962,-0.4934475107314621,svar
3070,"[[143, 0], [249, 70]]","[0.32922535211267606, 0.03515625]",696.0,"[0.41395851033701503, 0.3925700668658415]",3565521.8735695425,7726880.25768695,3550333.3217773438,0.5204844489785209,svar
1226,"[[169, 94], [214, 146]]","[0.32922535211267606, 0.15494791666666666]",253.0,"[0.4101657305318632, 0.46789142667990735]",613570.9815461781,610378.97656095,952340.2763773638,-0.649513080128774,svar
3009,"[[244, 78], [315, 252]]","[0.49471830985915494, 0.24348958333333334]",907.0,"[0.5109822139174366, 0.6056555590158829]",13714403.184586352,5232375.784997399,41176970.29039685,-0.3259117474409324,svar
1123,"[[330, 623], [367, 681]]","[0.6109154929577465, 0.8528645833333334]",168.0,"[0.4532267891456156, 0.5471270960049505]",661354.5632129369,400110.69042290916,1365107.4574703623,-0.4702525631089474,svar
396,"[[386, 324], [409, 346]]","[0.7024647887323944, 0.4375]",77.0,"[0.5473484848484849, 0.5124066754501537]",52945.42385563381,75364.96522267412,63545.171875,0.7298170271699741,svar
766,"[[388, 282], [421, 317]]","[0.7165492957746479, 0.3893229166666667]",109.0,"[0.5471509752726156, 0.4833913548012765]",233468.236626137,302595.64232667175,269344.75544908375,0.7498528007604897,svar
305,"[[18, 448], [67, 476]]","[0.07922535211267606, 0.5989583333333334]",289.0,"[0.47557117750439365, 0.49757590449063693]",366711.229148328,884185.4667786667,308390.26915147575,0.4526097381465103,super
250,"[[53, 358], [86, 382]]","[0.11971830985915492, 0.4830729166666667]",224.0,"[0.5048039215686275, 0.46799999999999997]",104758.59217282865,232800.88117437033,107523.67191568983,0.5159490843223269,super
85009,"[[0, 136], [410, 622]]","[0.3609154929577465, 0.5768229166666666]",5327.0,"[0.49720331035567455, 0.6311243036034435]",5428783292.83342,4848802043.234706,8799122923.993217,-0.6109266504814828,super
